unicode_codepoint,sign_name,count,percentage,cumulative_percentage
U+10642,LINEAR A SIGN AB081,307,4.5780,4.5780
U+1063E,LINEAR A SIGN AB077,284,4.2350,8.8130
U+10655,LINEAR A SIGN A301,274,4.0859,12.8989
U+10624,LINEAR A SIGN AB041,241,3.5938,16.4927
U+10607,LINEAR A SIGN AB008,202,3.0122,19.5049
U+1061A,LINEAR A SIGN AB028,191,2.8482,22.3531
U+10601,LINEAR A SIGN AB002,187,2.7885,25.1417
U+10631,LINEAR A SIGN AB057,169,2.5201,27.6618
U+10633,LINEAR A SIGN AB059,165,2.4605,30.1223
U+10605,LINEAR A SIGN AB006,158,2.3561,32.4784
U+10603,LINEAR A SIGN AB004,156,2.3263,34.8047
U+10600,LINEAR A SIGN AB001,139,2.0728,36.8774
U+10746,LINEAR A SIGN A707 J,137,2.0429,38.9204
U+1061E,LINEAR A SIGN AB031,137,2.0429,40.9633
U+1061D,LINEAR A SIGN AB030,136,2.0280,42.9914
U+10638,LINEAR A SIGN AB067,128,1.9087,44.9001
U+10619,LINEAR A SIGN AB027,125,1.8640,46.7641
U+10641,LINEAR A SIGN AB080,119,1.7745,48.5386
U+10634,LINEAR A SIGN AB060,115,1.7149,50.2535
U+10620,LINEAR A SIGN AB037,111,1.6552,51.9087
U+10606,LINEAR A SIGN AB007,109,1.6254,53.5341
U+10602,LINEAR A SIGN AB003,103,1.5359,55.0701
U+1063B,LINEAR A SIGN AB073,96,1.4316,56.5016
U+10618,LINEAR A SIGN AB026,93,1.3868,57.8885
U+1062C,LINEAR A SIGN AB051,78,1.1631,59.0516
U+1062D,LINEAR A SIGN AB053,77,1.1482,60.1998
U+10743,LINEAR A SIGN A704 E,77,1.1482,61.3480
U+10639,LINEAR A SIGN AB069,73,1.0886,62.4366
U+10609,LINEAR A SIGN AB010,68,1.0140,63.4506
U+10608,LINEAR A SIGN AB009,67,0.9991,64.4497
U+1064D,LINEAR A SIGN AB131A,65,0.9693,65.4190
U+10649,LINEAR A SIGN AB120,64,0.9544,66.3734
U+1062F,LINEAR A SIGN AB055,60,0.8947,67.2681
U+10617,LINEAR A SIGN AB024,58,0.8649,68.1330
U+10622,LINEAR A SIGN AB039,57,0.8500,68.9830
U+10657,LINEAR A SIGN A303,57,0.8500,69.8330
U+10632,LINEAR A SIGN AB058,55,0.8202,70.6531
U+1063D,LINEAR A SIGN AB076,52,0.7754,71.4286
U+1062E,LINEAR A SIGN AB054,48,0.7158,72.1443
U+1063C,LINEAR A SIGN AB074,47,0.7009,72.8452
U+1063F,LINEAR A SIGN AB078,46,0.6860,73.5312
U+10630,LINEAR A SIGN AB056,46,0.6860,74.2171
U+1060C,LINEAR A SIGN AB016,45,0.6710,74.8882
U+1060B,LINEAR A SIGN AB013,42,0.6263,75.5145
U+10742,LINEAR A SIGN A703 D,42,0.6263,76.1408
U+10741,LINEAR A SIGN A702 B,41,0.6114,76.7522
U+1060D,LINEAR A SIGN AB017,40,0.5965,77.3486
U+10647,LINEAR A SIGN A100-102,38,0.5667,77.9153
U+10636,LINEAR A SIGN AB065,36,0.5368,78.4521
U+10626,LINEAR A SIGN AB045,35,0.5219,78.9741
